id,puntaje,gpa,edad,asistencia,genero,estrato
1,55.74,2.22,16,80.9,Masculino,2
2,52.29,2.11,16,82.9,Femenino,5
3,51.16,2.19,17,83.3,Femenino,1
4,60.41,2.1,19,84.7,Masculino,4
5,59.23,2.47,16,87.0,No binario,1
6,38.46,1.68,22,88.3,Femenino,2
7,69.08,3.06,16,64.4,Femenino,3
8,43.73,1.93,22,73.8,Femenino,4
9,59.63,2.48,17,74.8,Femenino,3
10,66.47,2.95,24,70.3,Femenino,2
11,47.48,1.98,24,89.3,Masculino,1
12,78.87,2.9,17,79.7,Masculino,4
13,62.62,2.7,17,83.1,Femenino,1
14,37.22,1.55,17,91.7,Masculino,1
15,35.61,1.62,16,82.4,Femenino,4
16,40.95,1.88,22,62.6,Femenino,3
17,35.74,1.71,16,71.1,No binario,2
18,53.66,2.27,16,68.6,Masculino,1
19,54.49,2.03,16,68.6,Masculino,3
20,67.3,2.62,24,66.5,Femenino,5
21,46.61,2.39,22,63.4,Femenino,3
22,62.77,2.3,19,71.7,Femenino,2
23,84.94,3.57,23,54.8,Femenino,5
24,58.66,2.47,17,64.5,Masculino,3
25,31.65,1.27,19,84.3,Femenino,2
26,58.56,2.51,22,64.8,Femenino,3
27,68.25,2.91,20,81.2,Masculino,4
28,73.2,3.03,18,71.2,Femenino,4
29,48.4,1.86,16,66.6,Femenino,3
30,37.87,1.61,18,79.0,Femenino,1
31,53.82,2.27,24,65.5,Femenino,3
32,48.69,2.12,17,57.5,Femenino,1
33,69.4,2.54,24,88.0,Masculino,3
34,42.51,1.65,16,74.8,Femenino,1
35,57.65,2.23,19,77.9,Masculino,3
36,50.55,1.87,22,91.6,Masculino,2
37,66.15,2.6,21,78.1,Femenino,2
38,54.11,2.09,24,70.7,Masculino,3
39,59.85,2.66,16,53.1,Masculino,3
40,44.89,1.89,24,66.9,Femenino,1
41,56.55,2.42,21,51.9,Femenino,3
42,68.99,2.78,23,65.5,Femenino,5
43,24.13,1.1,19,74.5,Masculino,1
44,48.74,2.08,24,72.0,Masculino,2
45,45.16,1.99,23,71.5,Femenino,3
46,37.82,1.69,17,63.9,Masculino,1
47,58.87,2.33,23,68.4,Femenino,4
48,61.74,2.16,18,78.0,Masculino,5
49,60.91,2.52,17,58.4,Femenino,2
50,73.33,3.04,23,68.4,Femenino,3
51,42.8,1.41,22,73.1,Masculino,3
52,53.07,2.24,17,66.4,Femenino,4
53,60.27,2.33,24,66.7,Femenino,3
